GUID,SCIENTIFIC_NAME,Subspecies-tag,key notes,Subspecies-key,Subspecies-geography,Sub(1),Sub(2),Sub(3),COLLECTORS,COUNTRY,STATE_PROV,locality,VERBATIM_DATE,PARTS,sex,Here?,Condition,Comments,wc,tl,cul,tarsus
30864,Callipepla douglasii,douglasii,int: 1 w/2 throat,intergrade,douglasii,1,6,1,J. Felix,Mexico,Sinaloa,El Rosario area,9-Sep-41,skin,female,y,good,adult,108.6,64.6,14.5,33.7
5658,Callipepla douglasii,douglasii,int: 2 crest 1 throat,intergrade,douglasii,1,6,1,J. T. Wright,Mexico,Sonora,Guirocoba,23-Dec-31,skin,female,y,good,adult,115.6,65.5,13.6,30.1
5660,Callipepla douglasii,douglasii,int: 2 crest 1 throat,intergrade,douglasii,1,6,1,J. T. Wright,Mexico,Sonora,Camoa,27-Dec-31,skin,female,y ,good ,adult,110,63.9,13.1,29.2
6619,Callipepla douglasii,douglasii,int: 2 crest 1 throat,intergrade,douglasii,1,6,1,Chester C. Lamb,Mexico,Sinaloa,Yecorato,1-May-33,skin,female,y,good,adult,106.2,56.7,13.4,29.5
8761,Callipepla douglasii,douglasii,int: 2 crest 1 throat,intergrade,douglasii,1,6,1,Chester C. Lamb,Mexico,Sinaloa,La Reforma,5/7/34,skin,female,y,good,adult,107.9,60,12,30
15124,Callipepla douglasii,douglasii,int: 2 crest 1 throat,intergrade,douglasii,1,6,1,Chester C. Lamb,Mexico,Sinaloa,"Arroyo Guayabito, 15 mi E Quila",4-Jan-36,skin,female,y,good,adult,107.2,55,11.6,30.9
16426,Callipepla douglasii,douglasii,int: 2 crest 1 throat,intergrade,douglasii,1,6,1,Chester C. Lamb,Mexico,Sinaloa,"Palos Dulces, 15 mi WSW Cosala",10-May-36,skin,female,y,good,adult,112.4,62.5,13.9,32.1
17393,Callipepla douglasii,douglasii,int: 2 crest 1 throat,intergrade,douglasii,1,6,1,Chester C. Lamb,Mexico,Sinaloa,Badiraguato,10-Jan-37,skin,female,y,good,adult,110.3,61.1,13.2,32.7
17394,Callipepla douglasii,douglasii,int: 2 crest 1 throat,intergrade,douglasii,1,6,1,Chester C. Lamb,Mexico,Sinaloa,Culiacan,30-Dec-36,skin,female,y,good,adult,104.4,60.5,13.5,29.6
17395,Callipepla douglasii,douglasii,int: 2 crest 1 throat,intergrade,douglasii,1,6,1,Chester C. Lamb,Mexico,Sinaloa,Culiacan,30-Dec-36,skin,female,y,good,adult,105.3,56.1,13.6,36.7
18038,Callipepla douglasii,douglasii,int: 2 crest 1 throat,intergrade,douglasii,1,6,1,Chester C. Lamb,Mexico,Sinaloa,Elota,23-Mar-37,skin,female,y,good,adult,100.4,61.9,13.7,31.2
6624,Callipepla douglasii,douglasii,"int: 2 throat + breast, 1 back",intergrade,douglasii,1,6,1,Chester C. Lamb,Mexico,Sinaloa,Yecorato,2-May-33,skin,male,y,good,adult,113,69.6,14.2,38.8
5625,Callipepla douglasii,douglasii,int?: 2+5,intergrade,douglasii,1,6,1,J. T. Wright,Mexico,Sinaloa,La Guasa,20-Nov-33,skin,male,y,good ,adult,105,60,13.9,33.9
5657,Callipepla douglasii,douglasii,int?: 2+5,intergrade,douglasii,1,6,1,J. T. Wright,Mexico,Sonora,Guirocoba,28-Jan-31,skin,male,y,good ,adult,107.8,64.7,13.8,33.8
6614,Callipepla douglasii,douglasii,int?: 2+5,intergrade,douglasii,1,2,1,Chester C. Lamb,Mexico,Sinaloa,Yecorato,2-May-33,skin,male,y ,good ,adult,113.5,71,14.4,30.3
6616,Callipepla douglasii,douglasii,int?: 2+5,intergrade,douglasii,1,6,1,Chester C. Lamb,Mexico,Sinaloa,Yecorato,9-May-33,skin,male,y,good,adult,114.9,68.6,13.7,33.8
6625,Callipepla douglasii,douglasii,int?: 2+5,intergrade,douglasii,1,6,1,Chester C. Lamb,Mexico,Sinaloa,Yecorato,9-May-33,skin,male,y,good,adult,112,67.6,14.5,32.7
6627,Callipepla douglasii,douglasii,int?: 2+5,intergrade,douglasii,1,6,1,Chester C. Lamb,Mexico,Sinaloa,Yecorato,2-May-33,skin,male,y,good,adult,106.8,62,14.8,30.7
6633,Callipepla douglasii,douglasii,int?: 2+5,intergrade,douglasii,1,6,1,William H. Burt,Mexico,Sonora,Pinoche Mills,20-May-33,skin,male,y,feathers around throat somewhat damaged,adult,110.3,58.6,14.1,31.5
6635,Callipepla douglasii,douglasii,int?: 2+5,intergrade,douglasii,1,6,1,Chester C. Lamb,Mexico,Sinaloa,Ahome,27-Aug-33,skin,male,y,good  ,adult,106.2,67.7,14.6,32
6653,Callipepla douglasii,douglasii,int?: 2+5,intergrade,douglasii,1,6,1,Chester C. Lamb,Mexico,Sinaloa,Yecorato,2-May-33,skin,male,y,good,adult,108.7,64.6,14.7,31
8756,Callipepla douglasii,douglasii,int?: 2+5,intergrade,douglasii,1,6,1,Chester C. Lamb,Mexico,Sinaloa,La Reforma,5/7/34,skin,male,y,good,adult,109.7,60.2,13.5,33.8
8759,Callipepla douglasii,douglasii,int?: 2+5,intergrade,douglasii,1,6,1,Chester C. Lamb,Mexico,Sinaloa,Culiacan,12-Jun-34,skin,male,y,good,adult,105,60.7,13.6,30.3
10780,Callipepla douglasii,douglasii,int?: 2+5,intergrade,douglasii,1,6,1,Chester C. Lamb,Mexico,Sinaloa,Guamuchil,3-Apr-34,skin,male,y,good,adult,112.1,69.8,14.2,33.4
5635,Callipepla douglasii,douglasii,languens,languens,douglasii,1,5,1,Chester C. Lamb,Mexico,Sinaloa,El Molino,26-Oct-33,skin,male,y ,good ,adult ,115,63.9,13.3,36.5
5656,Callipepla douglasii,douglasii,languens,languens,douglasii,1,5,1,J. T. Wright,Mexico,Sonora,Guirocoba,14-May-31,skin,male,y,feathers around throat somewhat damaged,adult,107.1,67.3,14.5,32.5
6638,Callipepla douglasii,douglasii,languens,languens,douglasii,1,5,1,Chester C. Lamb,Mexico,Sinaloa,Ahome,8-Aug-33,skin,male,y,good,adult,116.7,69,13.7,31.9
6639,Callipepla douglasii,douglasii,languens,languens,douglasii,1,5,1,Chester C. Lamb,Mexico,Sinaloa,Ahome,17-Aug-33,skin,male,y,good,adult,119.6,67,14.6,33.2
6646,Callipepla douglasii,douglasii,languens,languens,douglasii,1,5,1,Chester C. Lamb,Mexico,Sinaloa,El Molino,26-Oct-33,skin,male,y,good,adult,109.9,65.8,14.1,33.2
6652,Callipepla douglasii,douglasii,languens,languens,douglasii,1,5,1,Chester C. Lamb,Mexico,Sinaloa,Ahome,19-Aug-33,skin,male,y,good,adult,110.8,62.3,14.3,33.2
8760,Callipepla douglasii,douglasii,languens,languens,douglasii,1,5,1,Chester C. Lamb,Mexico,Sinaloa,La Reforma,17-Apr-34,skin,male,y,good,adult,108.6,66.2,14.1,33.6
16424,Callipepla douglasii,douglasii,languens,languens,douglasii,1,5,1,Chester C. Lamb,Mexico,Sinaloa,"Palos Dulces, 15 mi WSW Cosala",10-May-36,skin,male,y,good,adult,99.6,56.9,14,32.1
16425,Callipepla douglasii,douglasii,languens,languens,douglasii,1,5,1,Chester C. Lamb,Mexico,Sinaloa,"Palos Dulces, 15 mi WSW Cosala",10-May-36,skin,male,y,good,adult,110.2,62,13.6,34.6
17390,Callipepla douglasii,douglasii,languens,languens,douglasii,1,5,1,Chester C. Lamb,Mexico,Sinaloa,Culiacan,30-Dec-36,skin,male,y,good,adult,114.2,63,13.8,32.7
5627,Callipepla douglasii,douglasii,teres,teres,douglasii,1,3,1,Chester C. Lamb,Mexico,Sinaloa,Guamuchil,1-Oct-33,skin,male,y,good ,adult,114.6,56.1,14.2,37.2
5628,Callipepla douglasii,douglasii,teres,teres,douglasii,1,3,1,Chester C. Lamb,Mexico,Sinaloa,El Molino,21-Oct-33,skin,male,y,bill damaged,adult,98.8,65.1,12.9,31.4
5629,Callipepla douglasii,douglasii,teres,teres,douglasii,1,3,1,Chester C. Lamb,Mexico,Sinaloa,El Molino,12-Mar-34,skin,male,y,good ,adult,105.7,61.8,14.7,34.5
5633,Callipepla douglasii,douglasii,teres,teres,douglasii,1,3,1,Chester C. Lamb,Mexico,Sinaloa,El Molino,23-Feb-34,skin,male,y,good,adult,108.8,60.8,13.3,35.5
18035,Callipepla douglasii,douglasii,teres,teres,douglasii,1,3,1,Chester C. Lamb,Mexico,Sinaloa,Vado Hondo,31-Mar-37,skin,male,y,good,adult,111.9,64.5,14.5,33.1
19709,Callipepla douglasii,douglasii,teres,teres,douglasii,1,3,1,Chester C. Lamb,Mexico,Durango,Tamazula,2-Dec-37,skin,male,y,good,adult,104.7,62.3,13.9,31.3
30849,Callipepla douglasii,douglasii,teres,teres,douglasii,1,3,1,J. Felix,Mexico,Sinaloa,Cacalotan,13-Aug-41,skin,male,y,good  ,adult,110.7,60.5,14.4,35.1
30850,Callipepla douglasii,douglasii,teres,teres,douglasii,1,3,1,J. Felix,Mexico,Sinaloa,Cacalotan,10-Aug-41,skin,male,y,good,adult,103.9,63.5,13.9,31.5
30851,Callipepla douglasii,douglasii,teres,teres,douglasii,1,3,1,J. Felix,Mexico,Sinaloa,Cacalotan,14-Aug-41,skin,male,y,good,adult,108.7,62.8,14.2,33.4
30852,Callipepla douglasii,douglasii,teres,teres,douglasii,1,3,1,J. Felix,Mexico,Sinaloa,Cacalotan,12-Aug-41,skin,male,y,good,adult,112.8,62.7,13.6,31.3
30853,Callipepla douglasii,douglasii,teres,teres,douglasii,1,3,1,J. Felix,Mexico,Sinaloa,Cacalotan,13-Aug-41,skin,male,y,good,adult,108.2,53.3,13.8,31.8
51353,Callipepla douglasii,teres,teres,teres,teres,3,3,3,Chester C. Lamb,Mexico,Jalisco,Puerto Vallarta,7-Jun-50,skin,female,y,good,adult,107.8,55.3,13.2,30.9
51354,Callipepla douglasii,teres,teres,teres,teres,3,3,3,Chester C. Lamb,Mexico,Jalisco,Puerto Vallarta,20-Jun-50,skin,female,y,good,adult,113.2,62.3,13.6,32.8
51355,Callipepla douglasii,teres,teres,teres,teres,3,3,3,Chester C. Lamb,Mexico,Jalisco,Puerto Vallarta,22-Jun-50,skin,female,y,good,adult,103.8,59.6,13.6,31.5
51356,Callipepla douglasii,teres,teres,teres,teres,3,3,3,Chester C. Lamb,Mexico,Jalisco,Puerto Vallarta,8-Jun-50,skin,female,y,good,adult,109.5,52.6,13.3,32.6
51357,Callipepla douglasii,teres,teres,teres,teres,3,3,3,Chester C. Lamb,Mexico,Jalisco,Puerto Vallarta,7-Jun-50,skin,female,y,good,adult,104.1,53.1,14.4,30.7
51358,Callipepla douglasii,teres,teres,teres,teres,3,3,3,Chester C. Lamb,Mexico,Jalisco,Puerto Vallarta,8-Jun-50,skin,female,y,bill damaged,adult,98.8,54.6,12.9,31.7
51359,Callipepla douglasii,teres,teres,teres,teres,3,3,3,Chester C. Lamb,Mexico,Jalisco,Puerto Vallarta,17-Jun-50,skin,male,y,good,adult,107.2,58.2,14,33.1
52739,Callipepla douglasii,teres,teres,teres,teres,3,3,3,Chester C. Lamb,Mexico,Jalisco,Puerto Vallarta,7-Jun-50,skin,male,y,good,adult,109.9,62.1,14.3,30
52794,Callipepla douglasii,teres,teres,teres,teres,3,3,3,Chester C. Lamb,Mexico,Jalisco,Puerto Vallarta,12-Jun-50,skin,male,y,good,adult,105.8,54.3,14,34.5
